pitch,dB,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,tweeters,outliers
,-1500,100.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0
75.7232,70.81686630568151,100.0,-1400.0,-1400.0,81.92173473624287,-1400.0,81.30807676015375,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,102.30707890829225
71.4128,77.11448401712599,100.0,-1400.0,-1400.0,85.83715065176361,-1400.0,77.48809217181324,75.4869835447067,-1400.0,69.62099052468841,-1400.0,-1400.0,-1400.0,-1400.0,66.33798420830718,66.45172123569932,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,100.38203217380328
74.1909,80.9434888443161,100.0,-1400.0,-1400.0,92.39773712962433,77.4043930061712,-1400.0,82.40746137739268,79.48986362346517,74.69318812220868,-1400.0,-1400.0,-1400.0,-1400.0,81.18040911280302,-1400.0,74.55422090359377,-1400.0,74.40252291715777,-1400.0,-1400.0,-1400.0,105.59658608025299
80.5803,81.32157247954427,100.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,86.02365476767785,82.63211654330803,-1400.0,-1400.0,-1400.0,-1400.0,78.3576915344008,-1400.0,-1400.0,79.14068217293395,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,112.74826796347999
82.7162,78.54604164123208,100.0,97.21107054311715,98.36642837351968,97.06044783064762,94.23599753514942,88.67983768026278,89.02272385141238,76.96352332991859,-1400.0,-1400.0,-1400.0,84.45787825214072,78.82881085691044,-1400.0,-1400.0,78.81717345911122,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,111.51574706255278
83.5798,73.63418237025425,100.0,99.40967256228073,100.19273873126807,98.77820503420364,97.11922699754003,89.30289490404402,88.78491023801335,78.9234032027305,-1400.0,-1400.0,-1400.0,82.29847783084439,83.77649887295676,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,113.04202852943668
83.6678,70.48435387282792,100.0,99.73124235869989,100.37500526665642,98.5581914626116,98.06298424452461,87.08257492693852,87.2974811621177,76.0406730455348,-1400.0,-1400.0,-1400.0,79.57001084186497,82.01068728001972,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,79.89468988948138,-1400.0,-1400.0,112.53651338007552
82.3747,70.82945308006201,100.0,98.81291322725568,99.6874465158149,97.15235400208806,97.74464900223803,82.58600973076025,86.54783359536714,-1400.0,-1400.0,-1400.0,-1400.0,78.31503023927833,74.16642978289727,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,76.28508251795557,-1400.0,74.53379343604132,111.6873902079813
81.9541,69.09525739324137,100.0,98.18583759796387,99.2273554116007,96.48895473377242,97.17290328092813,-1400.0,-1400.0,74.1620037135304,-1400.0,-1400.0,-1400.0,75.56714462860717,71.30706823500745,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,70.25583135129165,-1400.0,74.54738077203478,111.74376618336517
82.7218,70.02336055438992,100.0,98.4547615274924,99.6153864488038,96.745007453422,97.3981567724393,-1400.0,85.13332045626203,68.68880021701874,-1400.0,-1400.0,-1400.0,70.47206502694631,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,78.4771394098481,111.76011603029934
82.8824,70.84010185913712,100.0,99.56367128009664,100.95122018413261,96.82032303005649,98.28464527099732,77.71114535384419,84.39197133211829,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,-1400.0,70.14820435022321,70.41158657292665,78.29664198219083,112.6464851399379
